HDI rank,Country,Human Development Index (HDI) - 2021,Life expectancy at birth - 2021,Expected years of schooling - 2021,Mean years of schooling - 2021,Gross national income (GNI) per capita - 2021
102.0,Dominica,0.72,72.8,13.3,8.1,11488.0
102.0,Jordan,0.72,74.3,10.6,10.4,9924.0
104.0,Libya,0.718,71.9,12.9,7.6,15336.0
105.0,Paraguay,0.717,70.3,13.0,8.9,12349.0
106.0,"Palestine, State of",0.715,73.5,13.4,9.9,6583.0
106.0,Saint Lucia,0.715,71.1,12.9,8.5,12048.0
108.0,Guyana,0.714,65.7,12.5,8.6,22465.0
109.0,South Africa,0.713,62.3,13.6,11.4,12948.0
110.0,Jamaica,0.709,70.5,13.4,9.2,8834.0
111.0,Samoa,0.707,72.8,12.4,11.4,5308.0
112.0,Gabon,0.706,65.8,13.0,9.4,13367.0
112.0,Lebanon,0.706,75.0,11.3,8.7,9526.0
114.0,Indonesia,0.705,67.6,13.7,8.6,11466.0
115.0,Viet Nam,0.703,73.6,13.0,8.4,7867.0
116.0,Philippines,0.699,69.3,13.1,9.0,8920.0
117.0,Botswana,0.693,61.1,12.3,10.3,16198.0
118.0,Bolivia,0.692,63.6,14.9,9.8,8111.0
118.0,Kyrgyzstan,0.692,70.0,13.2,11.4,4566.0
120.0,Venezuela,0.691,70.6,12.8,11.1,4811.0
121.0,Iraq,0.686,70.4,12.1,7.9,9977.0
122.0,Tajikistan,0.685,71.6,11.7,11.3,4548.0
123.0,Belize,0.683,70.5,13.0,8.8,6309.0
123.0,Morocco,0.683,74.0,14.2,5.9,7303.0
125.0,El Salvador,0.675,70.7,12.7,7.2,8296.0
126.0,Nicaragua,0.667,73.8,12.6,7.1,5625.0
127.0,Bhutan,0.666,71.8,13.2,5.2,9438.0
128.0,Cabo Verde,0.662,74.1,12.6,6.3,6230.0
129.0,Bangladesh,0.661,72.4,12.4,7.4,5472.0
130.0,Tuvalu,0.641,64.5,9.4,10.6,6351.0
131.0,Marshall Islands,0.639,65.3,10.2,10.9,4620.0
132.0,India,0.633,67.2,11.9,6.7,6590.0
133.0,Ghana,0.632,63.8,12.0,8.3,5745.0
134.0,Micronesia,0.628,70.7,11.5,7.8,3696.0
135.0,Guatemala,0.627,69.2,10.6,5.7,8723.0
136.0,Kiribati,0.624,67.4,11.8,8.0,4063.0
137.0,Honduras,0.621,70.1,10.1,7.1,5298.0
138.0,Sao Tome and Principe,0.618,67.6,13.4,6.2,4021.0
139.0,Namibia,0.615,59.3,11.9,7.2,8634.0
140.0,Lao People's Democratic Republic,0.607,68.1,10.1,5.4,7700.0
140.0,Timor-Leste,0.607,67.7,12.6,5.4,4461.0
140.0,Vanuatu,0.607,70.4,11.5,7.1,3085.0
143.0,Nepal,0.602,68.4,12.9,5.1,3877.0
144.0,Eswatini,0.597,57.1,13.7,5.6,7679.0
145.0,Equatorial Guinea,0.596,60.6,9.7,5.9,12074.0
146.0,Cambodia,0.593,69.6,11.5,5.1,4079.0
146.0,Zimbabwe,0.593,59.3,12.1,8.7,3810.0
148.0,Angola,0.586,61.6,12.2,5.4,5466.0
149.0,Myanmar,0.585,65.7,10.9,6.4,3851.0
150.0,Syrian Arab Republic,0.577,72.1,9.2,5.1,4192.0
151.0,Cameroon,0.576,60.3,13.1,6.2,3621.0
152.0,Kenya,0.575,61.4,10.7,6.7,4474.0
153.0,Congo,0.571,63.5,12.3,6.2,2889.0
